Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;MORLAIX;87474338;RENNES;87471003;1;Tarif Avantage;15.5;46.0
TGV INOUI;TGV HAUTE PICARDIE;87313882;VALENCE VILLE;87761007;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;LE HAVRE;87413013;AIME LA PLAGNE;87741769;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;ANGOULEME;87583005;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Normal;20.5;115.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;TOULON;87755009;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;PORNICHET;87481747;SABLE SUR SARTHE;87396408;1;Tarif Avantage;15.5;46.0
TGV INOUI;TGV HAUTE PICARDIE;87313882;VANNES;87476606;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;LE HAVRE;87413013;BOURG ST MAURICE;87741793;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;BELFORT-MONTBELIARD TGV;87300822;VERSAILLES CHANTIERS;87393009;2;Tarif Normal;20.5;115.0
TGV INOUI;AIME LA PLAGNE;87741769;ST PIERRE DES CORPS;87571240;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;VANNES;87476606;STRASBOURG;87212027;1;Tarif Elève - Etudiant - Apprenti;46.0;46.0
TGV INOUI;TOURS;87571000;AIX EN PROVENCE TGV;87319012;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;LE HAVRE;87413013;LANDRY;87741777;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;GUINGAMP;87473207;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20.5;115.0
TGV INOUI;ANGERS ST LAUD;87484006;AIME LA PLAGNE;87741769;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;EVREUX  NORMANDIE;87387001;MARNE LA VALLEE CHESSY;87111849;1;Tarif Réglementé;46.3;46.3
TGV INOUI;VENDOME VILLIERS SUR LOIR;87571216;MONTPELLIER SAINT-ROCH;87773002;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;LE MANS;87396002;MODANE;87742007;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;DIJON VILLE;87713040;CARCASSONNE;87615286;2;Tarif Normal;25.5;115.0
TGV INOUI;ANGERS ST LAUD;87484006;CLUSES  74;87746370;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;MANTES LA JOLIE;87381509;LISIEUX;87444265;1;Tarif Réglementé;46.3;46.3
TGV INOUI;ANGOULEME;87583005;FUTUROSCOPE;87324095;1;Tarif Réglementé;39.1;39.1
TGV INOUI;LE MANS;87396002;NIMES;87775007;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;LILLE FLANDRES;87286005;FUTUROSCOPE;87324095;2;Tarif Normal;25.5;115.0
TGV INOUI;ANGERS ST LAUD;87484006;ST MICHEL VALLOIRE;87742361;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;NARBONNE;87781104;NIMES PONT DU GARD;87703975;1;Tarif Réglementé;46.3;46.3
TGV INOUI;AVIGNON SUD;87765024;VALENCE VILLE;87761007;1;Tarif Réglementé;39.1;39.1
TGV INOUI;LE MANS;87396002;ST GERVAIS LES BAINS LE FAYET;87746479;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;LYON PART DIEU;87723197;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25.5;115.0
TGV INOUI;ANNECY;87746008;NANTES;87481002;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;MONTPELLIER SAINT-ROCH;87773002;MARSEILLE ST CHARLES;87751008;1;Tarif Avantage;11.9;47.0
TGV INOUI;DIJON VILLE;87713040;MULHOUSE VILLE;87182063;1;Tarif Réglementé;39.1;39.1
TGV INOUI;LEPIN LE LAC LA BAUCHE;87741439;LILLE EUROPE;87223263;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;LYON PERRACHE;87722025;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25.5;115.0
TGV INOUI;ANNEMASSE;87745497;RENNES;87471003;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;TOURS;87571000;LA ROCHELLE VILLE;87485003;1;Tarif Avantage;11.9;47.0
TGV INOUI;MASSY PALAISEAU;87393579;ROUEN RIVE DROITE;87411017;1;Tarif Réglementé;39.1;39.1
TGV INOUI;LILLE EUROPE;87223263;BELLEGARDE GARE;87745000;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;LYON PERRACHE;87722025;PARIS EST;87113001;2;Tarif Normal;25.5;115.0
TGV INOUI;ARRAS;87342014;ALBERTVILLE;87741645;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;PERPIGNAN;87784009;AGDE;87781278;1;Tarif Normal;13.2;47.0
TGV INOUI;QUIMPER;87474098;VANNES;87476606;1;Tarif Réglementé;39.1;39.1
TGV INOUI;LILLE EUROPE;87223263;MOUTIERS SALINS BRIDES L BAINS;87741728;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
